item,iata,label,countryLabel
http://www.wikidata.org/entity/Q269294,HLE,Saint Helena Airport,United Kingdom
http://www.wikidata.org/entity/Q2492784,HRK,Kharkiv International Airport,Ukraine
http://www.wikidata.org/entity/Q2735084,HTA,Kadala Airport,Russia
http://www.wikidata.org/entity/Q1431529,IAS,Iași International Airport,Romania
http://www.wikidata.org/entity/Q1431549,IBZ,Ibiza Airport,Spain
http://www.wikidata.org/entity/Q939543,IEV,Kyiv Zhuliany International Airport,Ukraine
http://www.wikidata.org/entity/Q1431569,IFO,Ivano-Frankivsk International Airport,Ukraine
http://www.wikidata.org/entity/Q1431564,IKT,Irkutsk International Airport,Russia
http://www.wikidata.org/entity/Q1433348,ILZ,Žilina Airport,Slovakia
http://www.wikidata.org/entity/Q1262128,INI,Niš Constantine the Great Airport,Serbia
http://www.wikidata.org/entity/Q694434,INN,Innsbruck Airport,Austria
http://www.wikidata.org/entity/Q3661908,IST,Istanbul Airport,Turkey
http://www.wikidata.org/entity/Q850269,IVL,Ivalo Airport,Finland
http://www.wikidata.org/entity/Q6102047,IZL,Izmail International Airport,Ukraine
http://www.wikidata.org/entity/Q1322727,JCL,České Budějovice Airport,Czech Republic
http://www.wikidata.org/entity/Q477677,KBP,Boryspil International Airport,Ukraine
http://www.wikidata.org/entity/Q139921,KEF,Keflavík Airport,Iceland
http://www.wikidata.org/entity/Q240706,KEJ,Kemerovo International Airport,Russia
http://www.wikidata.org/entity/Q1431804,KFZ,Kukës International Airport Zayed,Albania
http://www.wikidata.org/entity/Q2442630,KGP,Kogalym International Airport,Russia
http://www.wikidata.org/entity/Q1420601,KGS,"Kos International Airport ""Hippocrates""",Greece
http://www.wikidata.org/entity/Q4497328,KHE,Kherson International Airport,Ukraine
http://www.wikidata.org/entity/Q1431601,KJA,Krasnoyarsk International Airport,Russia
http://www.wikidata.org/entity/Q2536144,KJK,Kortrijk-Wevelgem International Airport,Belgium
http://www.wikidata.org/entity/Q694404,KLU,Klagenfurt Airport,Austria
http://www.wikidata.org/entity/Q1431669,KLV,Karlovy Vary Airport,Czech Republic
http://www.wikidata.org/entity/Q924954,KLX,"Kalamata International Airport ""Captain Vasilis Konstantakopoulos""",Greece
http://www.wikidata.org/entity/Q2635747,KOV,Kokshetau International Airport,Kazakhstan
